
Dataset:bace, Split:scaffold, Fewshot_True_50, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.66672, std: 0.00008
Dataset:bace, Split:random, Fewshot_True_50, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:78, Best Acc:0.81845
Dataset:bace, Split:random, Fewshot_True_50, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:74, Best Acc:0.81180
Dataset:bace, Split:size, Fewshot_True_100, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:83, Best Acc:0.57941
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:15, Best Acc:0.66667
Dataset:bace, Split:random, Fewshot_True_50, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:78, Best Acc:0.81180
Dataset:bace, Split:random, Fewshot_True_50, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.81413, std: 0.00306
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:10, Best Acc:0.67067
Dataset:bace, Split:random, Fewshot_True_50, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:78, Best Acc:0.81670
Dataset:bace, Split:random, Fewshot_True_50, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.81279, std: 0.00287
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:15, Best Acc:0.66667
Dataset:bace, Split:size, Fewshot_True_100, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:76, Best Acc:0.57706
Dataset:bace, Split:random, Fewshot_True_100, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:70, Best Acc:0.80725
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:10, Best Acc:0.67084
Dataset:bace, Split:random, Fewshot_True_100, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:66, Best Acc:0.81600
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:15, Best Acc:0.66684
Dataset:bace, Split:scaffold, Fewshot_True_50, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.66672, std: 0.00008
Dataset:bace, Split:size, Fewshot_True_100, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:83, Best Acc:0.59314
Dataset:bace, Split:size, Fewshot_True_100, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.58320, std: 0.00709
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:10, Best Acc:0.67067
Dataset:bace, Split:scaffold, Fewshot_True_100, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.67072, std: 0.00008
Dataset:bace, Split:random, Fewshot_True_100, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:77, Best Acc:0.80900
Dataset:bace, Split:random, Fewshot_True_100, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:69, Best Acc:0.80585
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:10, Best Acc:0.67067
Dataset:bace, Split:random, Fewshot_True_100, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:65, Best Acc:0.81250
Dataset:bace, Split:random, Fewshot_True_100, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.80958, std: 0.00218
Dataset:bace, Split:random, Fewshot_True_100, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:58, Best Acc:0.80707
Dataset:bace, Split:random, Fewshot_True_100, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.80964, std: 0.00453
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:10, Best Acc:0.67084
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:10, Best Acc:0.67067
Dataset:bace, Split:scaffold, Fewshot_True_100, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.67072, std: 0.00008
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:1, Best Acc:0.70092
Dataset:bace, Split:size, Fewshot_True_500, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:99, Best Acc:0.57265
Dataset:bace, Split:random, Fewshot_True_500, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:56, Best Acc:0.82861
Dataset:bace, Split:random, Fewshot_True_500, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:91, Best Acc:0.83386
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:1, Best Acc:0.70092
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:0, Reg_feature_map_m0.1_h0.1, Best Epoch:1, Best Acc:0.70144
Dataset:bace, Split:size, Fewshot_True_500, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:37, Best Acc:0.49529
Dataset:bace, Split:random, Fewshot_True_500, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:56, Best Acc:0.83386
Dataset:bace, Split:random, Fewshot_True_500, Seed:1, Reg_feature_map_m0.1_h0.1, Best Epoch:56, Best Acc:0.83473
Dataset:bace, Split:scaffold, Fewshot_True_500, Seed:2, Reg_feature_map_m0.1_h0.1, Best Epoch:1, Best Acc:0.70162
Dataset:bace, Split:scaffold, Fewshot_True_500, All seed, Reg_feature_map_m0.1_h0.1, Best Acc:0.70115, std: 0.00033
